handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,brand
product_0,Product,TRENDYOLMİLLA Siyah Bol Paça Pantolon TWOAW21PL0076,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün Trendyol tarafından gönderilecektir.
Modelin Ölçüleri: Boy: 1.72, Göğüs: 82 , Bel: 59, Kalça: 88
Modelin Ölçüleri: Boy: 1.82, Göğüs: 101, Bel: 80, Kalça: 114
Mankenlerin üzerindeki ürünler S/36 ve XL/42 bedendir.
%60 Polyester %40 Viskon, Dokuma Kumaş
İç Boy Uzunluğu: 82 cm
Ürünlerimiz TRENDYOL etiketi ile gönderilecektir.",https://cdn.dsmcdn.com/mnresize/128/192/ty190/product/media/images/20211008/11/142706688/238731405/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty288/product/media/images/20220107/15/23064025/75649614/2/2_org_zoom.jpg;https://cdn.dsmcdn.com/ty156/product/media/images/20210809/10/117038023/80490993/1/1_org_zoom.jpg,2/ All Clothes,,,129.99,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,32;34;36;38;40;42,Color,COLOR,Mürdüm;Kahverengi;Siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1,Product,Tutku Erkek Siyah Termal Alt Üst Takım 88,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün POKY BEBE tarafından gönderilecektir.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 50 adetten fazla stok sunulmuştur.
İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.
Bir ürün birden fazla satıcı tarafından satılabilir. Ürün liste ve detay sayfalarında tüketici memnuniyeti göz önüne alınarak fiyat avantajı, teslimat hızı, iade oranları ve genel hizmet kalitesine göre belirlenmiş puanı en yüksek satıcı görünür satıcı olur. Diğer satıcılar, ürün detay sayfasında alternatif olarak listelenirler.",https://cdn.dsmcdn.com/mnresize/128/192/ty257/product/media/images/20211129/9/944422/324952159/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty40/product/media/images/20201225/13/41968580/123053148/1/1_org_zoom.jpg,2/ All Clothes,,,119.9,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,XS/S;S;M;L;XL;XXL;2XL,Color,COLOR,HAKİ;siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
