handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,brand
product_0,Product,Riccon Bej Cilt Kadın Çizme 0012360 LNRCNKM360,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün Riccon tarafından gönderilecektir.
Türkiye'de üretilmiştir.
Ortapedik İç Taban
Koku ve Terleme Yapmayan İç Astar
1.sınıf Malzeme
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.",https://cdn.dsmcdn.com/ty162/product/media/images/20210825/16/122462454/233076044/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty162/product/media/images/20210825/16/122462442/233075904/1/1_org_zoom.jpg,2/ All Clothes,,,399.9,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,36;37;38;39;40,Color,COLOR,Bej Cilt;Siyah Cilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1,Product,Fogs Unisex Panduf Ev Içi Ayakkabısı Yumuşak Taban UCC PANDUF,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün NMODA tarafından gönderilecektir.
Kaymaz Termo Tabanlı 30 Derecede Yıkanabilir Üstelik %100 Türk Malı Sıcak Tutan Malzeme Hafif Yapı Yumuşak ve Hafif Malzeme
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 10 adetten fazla stok sunulmuştur.
İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",https://cdn.dsmcdn.com/mnresize/128/192/ty186/product/media/images/20211004/11/139735494/92475574/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty249/product/media/images/20211118/15/164431/113494324/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty207/product/media/images/20211023/23/155440217/92004887/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty265/product/media/images/20211206/15/5552526/113487145/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty257/product/media/images/20211126/16/112220414/110573663/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty251/product/media/images/20211118/15/162251/115278924/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty249/product/media/images/20211118/15/158714/92006404/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty212/product/media/images/20211027/2/157240573/113485438/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty251/product/media/images/20211118/16/172794/92476700/1/1_org_zoom.jpg,2/ All Clothes,,,89.0,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,37;38;39;40;41;42;43;44;45,Color,COLOR,Pembe;Kahverengi;Lacivert;Füme;Kırmızı;Taba;Siyah;Pudra;Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2,Product,HUMMEL Ismır Smu Unisex Spor Ayakkabı 212151,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün Trendyol tarafından gönderilecektir.
Türkiye'de üretilmiştir.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 50 adetten fazla stok sunulmuştur.
Bir ürün birden fazla satıcı tarafından satılabilir. Ürün liste ve detay sayfalarında tüketici memnuniyeti göz önüne alınarak fiyat avantajı, teslimat hızı, iade oranları ve genel hizmet kalitesine göre belirlenmiş puanı en yüksek satıcı görünür satıcı olur. Diğer satıcılar, ürün detay sayfasında alternatif olarak listelenirler.",https://cdn.dsmcdn.com/mnresize/128/192/ty141/product/media/images/20210708/14/108334198/83579826/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty184/product/media/images/20210928/0/136919734/83002208/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty142/product/media/images/20210708/14/108333765/113229130/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty59/product/media/images/20210125/11/56914402/81474337/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty183/product/media/images/20210928/0/136919734/83002235/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty183/product/media/images/20210928/0/136919734/83002195/1/1_org_zoom.jpg,2/ All Clothes,,,219.95,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,36;37;38;39;40;41;42;43;44;45;46,Color,COLOR,1525;9001;6999;Siyah;2590;7959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3,Product,Fogs Pofuduk Ev Terliği Erkek Kadın Için Ses Yapmaz Taban Içi Kürklü Yıkanabilir UCC TERLİK,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün NMODA tarafından gönderilecektir.
Ev Terliği Yıkanabilir Malzeme
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 5 adetten fazla stok sunulmuştur.
İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",https://cdn.dsmcdn.com/mnresize/128/192/ty254/product/media/images/20211125/13/111707544/92003320/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty253/product/media/images/20211125/13/111709875/244521822/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty252/product/media/images/20211122/14/487163/92004779/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty252/product/media/images/20211122/13/452790/318426849/3/3_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty257/product/media/images/20211126/17/112223695/92475800/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty257/product/media/images/20211126/16/112218323/248883053/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty257/product/media/images/20211126/16/112220468/92003476/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty251/product/media/images/20211119/0/410046/92475992/1/1_org_zoom.jpg,2/ All Clothes,,,69.9,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,36;37;38;39;40;41;42;43;44;45,Color,COLOR,Pembe;Kahverengi;Lacivert;Füme;Kırmızı;Bordo;Taba;Siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4,Product,FORS SHOES Kadın Ten Şeffaf Taş Detaylı Topuklu Ayakkabı B935401,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün FORS SHOES tarafından gönderilecektir.
Meteryal: Suni deri süet -Şeffaf ayakkabılık malzeme Topuk boyu : 8 cm ürün %100 el işçiliğidir. Ürün tam kalıptır. Ayak numaranızı sipariş veriniz. Ürün tam kalıptır.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.
İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",https://cdn.dsmcdn.com/mnresize/128/192/ty225/product/media/images/20211106/17/168113473/168968662/1/1_org_zoom.jpg,2/ All Clothes,,,379.0,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,35;36;37;38;39;40;41;42;43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
